Datetime,Open,High,Low,Close,Volume
2022-01-03 00:00:00,1.13404,1.13411,1.13359,1.13378,0
2022-01-03 01:00:00,1.13378,1.13462,1.13377,1.13429,0
2022-01-03 02:00:00,1.1343,1.135,1.13349,1.1348,0
2022-01-03 03:00:00,1.13479,1.13479,1.13352,1.13465,0
2022-01-03 04:00:00,1.13465,1.13563,1.13356,1.13516,0
2022-01-03 05:00:00,1.13516,1.13596,1.13506,1.13551,0
2022-01-03 06:00:00,1.13552,1.13661,1.13514,1.13554,0
2022-01-03 07:00:00,1.13554,1.13594,1.13465,1.13586,0
2022-01-03 08:00:00,1.13588,1.13641,1.13458,1.13506,0
2022-01-03 09:00:00,1.13507,1.13517,1.12997,1.13061,0
2022-01-03 10:00:00,1.13064,1.13093,1.12902,1.12915,0
2022-01-03 11:00:00,1.12916,1.12988,1.12828,1.12888,0
2022-01-03 12:00:00,1.12888,1.12899,1.12797,1.12837,0
2022-01-03 13:00:00,1.12837,1.12969,1.12833,1.12948,0
2022-01-03 14:00:00,1.12948,1.12995,1.12936,1.12971,0
2022-01-03 15:00:00,1.1297,1.13003,1.12937,1.12963,0
2022-01-03 16:00:00,1.12963,1.12992,1.12943,1.12965,0
2022-01-03 17:00:00,1.12965,1.12982,1.12929,1.12945,0
2022-01-03 18:00:00,1.12948,1.13022,1.12946,1.13017,0
2022-01-03 19:00:00,1.13016,1.13068,1.13012,1.13056,0
2022-01-03 20:00:00,1.13056,1.13087,1.13013,1.13066,0
2022-01-03 21:00:00,1.13065,1.13094,1.12997,1.13021,0
2022-01-03 22:00:00,1.13021,1.13042,1.12953,1.12975,0
2022-01-03 23:00:00,1.12975,1.13055,1.12962,1.13005,0
2022-01-04 00:00:00,1.13005,1.13057,1.13003,1.13046,0
2022-01-04 01:00:00,1.13046,1.13071,1.12919,1.12931,0
2022-01-04 02:00:00,1.12929,1.12942,1.12831,1.12914,0
2022-01-04 03:00:00,1.12914,1.13002,1.12872,1.12895,0
2022-01-04 04:00:00,1.12894,1.13083,1.12831,1.13019,0
2022-01-04 05:00:00,1.13019,1.13055,1.12944,1.12945,0
2022-01-04 06:00:00,1.12947,1.12963,1.12759,1.1276,0
2022-01-04 07:00:00,1.12763,1.12833,1.12721,1.1273,0
2022-01-04 08:00:00,1.12728,1.12898,1.12728,1.12797,0
2022-01-04 09:00:00,1.128,1.12881,1.12775,1.12846,0
2022-01-04 10:00:00,1.12849,1.13224,1.12834,1.13091,0
2022-01-04 11:00:00,1.13092,1.13154,1.12854,1.12945,0
2022-01-04 12:00:00,1.12943,1.12959,1.12883,1.12936,0
2022-01-04 13:00:00,1.12939,1.12941,1.12794,1.128,0
2022-01-04 14:00:00,1.128,1.1293,1.12779,1.12876,0
2022-01-04 15:00:00,1.12875,1.12894,1.12808,1.12844,0
2022-01-04 16:00:00,1.12845,1.12877,1.12811,1.12861,0
2022-01-04 17:00:00,1.12856,1.12867,1.12823,1.12839,0
2022-01-04 18:00:00,1.12835,1.1287,1.12817,1.12827,0
2022-01-04 19:00:00,1.12826,1.12855,1.12769,1.12771,0
2022-01-04 20:00:00,1.12773,1.12886,1.12773,1.12857,0
2022-01-04 21:00:00,1.12857,1.12941,1.12849,1.12919,0
2022-01-04 22:00:00,1.12923,1.12967,1.1291,1.12956,0
2022-01-04 23:00:00,1.12956,1.12956,1.12882,1.12887,0
2022-01-05 00:00:00,1.12889,1.12946,1.12873,1.12937,0
2022-01-05 01:00:00,1.12936,1.13011,1.12929,1.12956,0
2022-01-05 02:00:00,1.12956,1.13025,1.12946,1.12986,0
2022-01-05 03:00:00,1.12987,1.13109,1.12966,1.13028,0
2022-01-05 04:00:00,1.13027,1.13085,1.13,1.13062,0
2022-01-05 05:00:00,1.13061,1.13139,1.13042,1.13079,0
2022-01-05 06:00:00,1.13079,1.13237,1.13065,1.13189,0
2022-01-05 07:00:00,1.13191,1.13261,1.13047,1.13076,0
2022-01-05 08:00:00,1.13077,1.13287,1.1303,1.13238,0
2022-01-05 09:00:00,1.13237,1.13386,1.1321,1.13357,0
2022-01-05 10:00:00,1.13356,1.13441,1.13324,1.13369,0
2022-01-05 11:00:00,1.13367,1.13395,1.13227,1.13339,0
2022-01-05 12:00:00,1.1334,1.13463,1.13332,1.13413,0
2022-01-05 13:00:00,1.13412,1.13444,1.13356,1.13371,0
2022-01-05 14:00:00,1.13372,1.13394,1.1308,1.13101,0
2022-01-05 15:00:00,1.13103,1.1313,1.13021,1.13109,0
2022-01-05 16:00:00,1.13107,1.13132,1.13078,1.13116,0
2022-01-05 17:00:00,1.13117,1.13139,1.13082,1.13095,0
2022-01-05 18:00:00,1.13096,1.13142,1.13088,1.13105,0
2022-01-05 19:00:00,1.13104,1.1313,1.13074,1.1308,0
2022-01-05 20:00:00,1.13082,1.13185,1.13048,1.13164,0
2022-01-05 21:00:00,1.13165,1.13205,1.1312,1.1319,0
2022-01-05 22:00:00,1.1319,1.1319,1.13085,1.1315,0
2022-01-05 23:00:00,1.1315,1.13163,1.13112,1.13122,0
2022-01-06 00:00:00,1.13122,1.13122,1.13069,1.1309,0
2022-01-06 01:00:00,1.1309,1.1309,1.1296,1.1297,0
2022-01-06 02:00:00,1.12969,1.12974,1.12845,1.12896,0
2022-01-06 03:00:00,1.12897,1.13092,1.12848,1.12937,0
2022-01-06 04:00:00,1.12937,1.13085,1.12885,1.13051,0
2022-01-06 05:00:00,1.13053,1.13268,1.13044,1.13122,0
2022-01-06 06:00:00,1.13122,1.13214,1.13021,1.13132,0
2022-01-06 07:00:00,1.13131,1.13183,1.13047,1.13131,0
2022-01-06 08:00:00,1.13132,1.13199,1.13029,1.13122,0
2022-01-06 09:00:00,1.13121,1.13318,1.13061,1.13215,0
2022-01-06 10:00:00,1.1322,1.13298,1.12928,1.12958,0
2022-01-06 11:00:00,1.12956,1.13093,1.12901,1.1307,0
2022-01-06 12:00:00,1.1307,1.13091,1.12934,1.12959,0
2022-01-06 13:00:00,1.12956,1.12977,1.1288,1.12916,0
2022-01-06 14:00:00,1.12916,1.12996,1.12865,1.12868,0
2022-01-06 15:00:00,1.12867,1.1294,1.12861,1.1291,0
2022-01-06 16:00:00,1.12912,1.12998,1.12871,1.12964,0
2022-01-06 17:00:00,1.12964,1.12973,1.12952,1.12957,0
2022-01-06 18:00:00,1.1296,1.12981,1.12938,1.12949,0
2022-01-06 19:00:00,1.12947,1.12977,1.12899,1.12958,0
2022-01-06 20:00:00,1.12958,1.13007,1.12958,1.13005,0
2022-01-06 21:00:00,1.13007,1.13017,1.1295,1.12955,0
2022-01-06 22:00:00,1.12955,1.13016,1.12955,1.1299,0
2022-01-06 23:00:00,1.1299,1.13031,1.1298,1.13006,0
2022-01-07 00:00:00,1.13006,1.13032,1.12999,1.13021,0
2022-01-07 01:00:00,1.13022,1.13033,1.12982,1.1299,0
2022-01-07 02:00:00,1.12989,1.1306,1.1298,1.13055,0
2022-01-07 03:00:00,1.13054,1.13152,1.13014,1.13121,0
2022-01-07 04:00:00,1.13122,1.13174,1.13094,1.13146,0
